Country,Population,GDP
Afghanistan,34940800,69450000000
Albania,3057220,36010000000
Algeria,41657500,630000000000
Andorra,85708,3327000000
Angola,30355900,193600000000
Anguilla,17422,175400000
Antigua & Barbuda,95882,2398000000
Argentina,44694200,922100000000
Armenia,3038220,28340000000
Aruba,116576,4158000000
Australia,23470100,1248000000000
Austria,8793370,441000000000
Azerbaijan,10046500,172200000000
Bahamas,332634,12060000000
Bahrain,1442660,71170000000
Bangladesh,159453000,690300000000
Barbados,293131,5218000000
Belarus,9527540,179400000000
Belgium,11570800,529200000000
Belize,385854,3218000000
Benin,11340500,25390000000
Bermuda,71176,6127000000
Bhutan,766397,7205000000
Bolivia,11306300,83720000000
Bosnia & Herzegovina,3849890,44830000000
Botswana,2249100,39010000000
Brazil,208847000,3248000000000
British Virgin Islands,35802,500000000
Brunei,450565,33870000000
Bulgaria,7057500,153500000000
Burkina Faso,19742700,35850000000
Burundi,11844500,8007000000
Cape Verde,568373,3777000000
Cambodia,16449500,64210000000
Cameroon,25641000,89540000000
Canada,35881700,1774000000000
Cayman Islands,59613,2507000000
Central African Republic,5745060,3390000000
Chad,15833100,28620000000
Chile,17925300,452100000000
China,1384690000,23210000000000
Colombia,48169000,711600000000
Comoros,821164,1319000000
Congo - Brazzaville,5062020,29390000000
Cook Islands,9038,299900000
Costa Rica,4987140,83940000000
Croatia,4270480,102100000000
Cuba,11116400,137000000000
Curaçao,150241,3128000000
Cyprus,1237090,31780000000
Czechia,10686300,375900000000
Côte d’Ivoire,26260600,97160000000
North Korea,25381100,40000000000
Congo - Kinshasa,85281000,68600000000
Denmark,5809500,287800000000
Djibouti,884017,3640000000
Dominica,74027,783000000
Dominican Republic,10298800,173000000000
Ecuador,16498500,193000000000
Egypt,99413300,1204000000000
El Salvador,6187270,51170000000
Equatorial Guinea,797457,31520000000
Eritrea,5970650,9402000000
Estonia,1244290,41650000000
Ethiopia,108386000,200600000000
Fiji,926276,8629000000
Finland,5537360,244900000000
France,67364400,2856000000000
French Guiana,199509,1551000000
French Polynesia,290373,5490000000
Gabon,2119040,36660000000
Gambia,2092730,5556000000
Georgia,4926090,39850000000
Germany,80457700,4199000000000
Ghana,28102500,134000000000
Gibraltar,29461,2044000000
Greece,10761500,299300000000
Grenada,112207,1634000000
Guatemala,16581300,138100000000
Guinea,11855400,27970000000
Guinea-Bissau,1833250,3171000000
Guyana,740685,6301000000
Haiti,10788400,19970000000
Vatican City,1000,37220000
Honduras,9182770,46300000000
Hong Kong SAR China,7213340,455900000000
Hungary,9825700,289600000000
Iceland,343518,18180000000
India,1296830000,9474000000000
Indonesia,262787000,3250000000000
Iraq,40194200,649300000000
Ireland,5068050,353300000000
Iran,83024700,1640000000000
Israel,8424900,317100000000
Italy,62246700,2317000000000
Jamaica,2812090,26060000000
Japan,126168000,5443000000000
Jordan,10458400,89000000000
Kazakhstan,18744500,478600000000
Kenya,48397500,163700000000
Kiribati,109367,227000000
Kuwait,2916470,289700000000
Kyrgyzstan,5849300,23150000000
Laos,7234170,49340000000
Latvia,1923560,54020000000
Lebanon,6100080,88250000000
Lesotho,1962460,6656000000
Liberia,4809770,6112000000
Libya,6754510,61970000000
Liechtenstein,38547,4978000000
Lithuania,2793280,91470000000
Luxembourg,605764,62110000000
Macao SAR China,606340,71820000000
Madagascar,25683600,39850000000
Malawi,19842600,22420000000
Malaysia,31809700,933300000000
Maldives,392473,6901000000
Mali,18429900,41220000000
Malta,449043,19260000000
Marshall Islands,75684,196000000
Martinique,436131,6117000000
Mauritania,3840430,17280000000
Mauritius,1364280,28270000000
Mexico,125959000,2463000000000
Micronesia,103643,348000000
Monaco,30727,7672000000
Mongolia,3103430,39730000000
Montenegro,614249,11080000000
Morocco,34314100,298600000000
Mozambique,27233800,37090000000
Myanmar (Burma),55622500,329800000000
Namibia,2533220,26600000000
Nauru,9692,160000000
Nepal,29717600,79190000000
Netherlands,17151200,924400000000
New Zealand,4545630,189000000000
Nicaragua,6085210,36400000000
Niger,19866200,21860000000
Nigeria,203453000,1121000000000
Niue,1618,10010000
Norfolk Island,1748,92950000
Norway,5372190,381200000000
Oman,3494120,190100000000
Pakistan,207863000,1061000000000
Palau,21516,264000000
Panama,3800640,104100000000
Papua New Guinea,7027330,30190000000
Paraguay,7025760,88910000000
Peru,31331200,430300000000
Philippines,105893000,877200000000
Poland,38420700,1126000000000
Portugal,10355500,314100000000
Puerto Rico,3294630,130000000000
Qatar,2363570,339500000000
South Korea,51418100,2035000000000
Moldova,3437720,23720000000
Romania,21457100,483400000000
Russia,142123000,4016000000000
Rwanda,12187400,24680000000
St. Kitts & Nevis,53094,1550000000
St. Lucia,165510,2542000000
St. Vincent & Grenadines,101844,1265000000
Samoa,201316,1137000000
San Marino,33779,2064000000
São Tomé & Príncipe,204454,686000000
Saudi Arabia,33091100,1775000000000
Senegal,15020900,54800000000
Serbia,7078110,105700000000
Seychelles,94633,2750000000
Sierra Leone,6312210,11550000000
Singapore,5995990,528100000000
Sint Maarten,42677,365800000
Slovakia,5445040,179700000000
Slovenia,2102130,71230000000
Solomon Islands,660121,1330000000
Somalia,11259000,20440000000
South Africa,55380200,767200000000
South Sudan,10204600,20010000000
Spain,49331100,1778000000000
Sri Lanka,22576600,275800000000
Palestinian Territories,4635210,21220000000
Sudan,43120800,177400000000
Suriname,597927,8688000000
Eswatini,1087200,11600000000
Sweden,10041000,518000000000
Switzerland,8292810,523100000000
Syria,19454300,50280000000
Tajikistan,8604880,28430000000
Thailand,68615900,1236000000000
North Macedonia,2118950,31030000000
Timor-Leste,1321930,7426000000
Togo,8176450,12970000000
Tonga,106398,591000000
Trinidad & Tobago,1215530,42850000000
Tunisia,11516200,137700000000
Turkey,81257200,2186000000000
Turkmenistan,5411010,103700000000
Turks & Caicos Islands,53701,632000000
Tuvalu,11147,42000000
Uganda,40853700,89190000000
Ukraine,43952300,369600000000
United Arab Emirates,9701320,696000000000
United Kingdom,65105200,2925000000000
Tanzania,55451300,162500000000
United States,329256000,19490000000000
Uruguay,3369300,78160000000
Uzbekistan,30023700,223000000000
Vanuatu,288037,772000000
Venezuela,31689200,381600000000
Vietnam,97040300,648700000000
Western Sahara,619551,906500000
Yemen,28667200,73630000000
Zambia,16445100,68930000000
Zimbabwe,14030400,34270000000
